game_id,Date,Season,Month,team_id,Team Name,Points Scored,Points Allowed,Win,Point Diff,Location
12500008,2025-10-02,2025-26,2025-10,NY,Knicks,99,84,1,15,Home
12500008,2025-10-02,2025-26,2025-10,PHI,76ers,84,99,0,-15,Away
12500001,2025-10-03,2025-26,2025-10,LAL,Lakers,81,103,0,-22,Home
12500001,2025-10-03,2025-26,2025-10,PHX,Suns,103,81,1,22,Away
12500009,2025-10-03,2025-26,2025-10,NO,Pelicans,107,97,1,10,Home
12500009,2025-10-03,2025-26,2025-10,MEL,United,97,107,0,-10,Away
12500010,2025-10-04,2025-26,2025-10,PHI,76ers,104,113,0,-9,Home
12500010,2025-10-04,2025-26,2025-10,NY,Knicks,113,104,1,9,Away
12500011,2025-10-04,2025-26,2025-10,NO,Pelicans,127,92,1,35,Home
12500011,2025-10-04,2025-26,2025-10,SEM,Phoenix,92,127,0,-35,Away
12500026,2025-10-04,2025-26,2025-10,BKN,Nets,123,88,1,35,Home
12500026,2025-10-04,2025-26,2025-10,HAP,Jerusalem B.C.,88,123,0,-35,Away
12500027,2025-10-04,2025-26,2025-10,MIA,Heat,118,126,0,-8,Home
12500027,2025-10-04,2025-26,2025-10,ORL,Magic,126,118,1,8,Away
12500028,2025-10-04,2025-26,2025-10,DEN,Nuggets,116,126,0,-10,Home
12500028,2025-10-04,2025-26,2025-10,MIN,Timberwolves,126,116,1,10,Away
12500029,2025-10-05,2025-26,2025-10,CHA,Hornets,114,135,0,-21,Home
12500029,2025-10-05,2025-26,2025-10,OKC,Thunder,135,114,1,21,Away
12500030,2025-10-05,2025-26,2025-10,GS,Warriors,111,103,1,8,Home
12500030,2025-10-05,2025-26,2025-10,LAL,Lakers,103,111,0,-8,Away
12500002,2025-10-06,2025-26,2025-10,MIA,Heat,93,103,0,-10,Home
12500002,2025-10-06,2025-26,2025-10,MIL,Bucks,103,93,1,10,Away
12500014,2025-10-06,2025-26,2025-10,HOU,Rockets,122,113,1,9,Home
12500014,2025-10-06,2025-26,2025-10,ATL,Hawks,113,122,0,-9,Away
12500031,2025-10-06,2025-26,2025-10,MEM,Grizzlies,112,128,0,-16,Home
12500031,2025-10-06,2025-26,2025-10,DET,Pistons,128,112,1,16,Away
12500032,2025-10-06,2025-26,2025-10,SA,Spurs,119,88,1,31,Home
12500032,2025-10-06,2025-26,2025-10,GUA,Loong-Lions,88,119,0,-31,Away
12500033,2025-10-06,2025-26,2025-10,DAL,Mavericks,106,89,1,17,Home
12500033,2025-10-06,2025-26,2025-10,OKC,Thunder,89,106,0,-17,Away
12500034,2025-10-06,2025-26,2025-10,TOR,Raptors,108,112,0,-4,Home
12500034,2025-10-06,2025-26,2025-10,DEN,Nuggets,112,108,1,4,Away
12500035,2025-10-07,2025-26,2025-10,CLE,Cavaliers,117,118,0,-1,Home
12500035,2025-10-07,2025-26,2025-10,CHI,Bulls,118,117,1,1,Away
12500036,2025-10-07,2025-26,2025-10,MIN,Timberwolves,134,135,0,-1,Home
12500036,2025-10-07,2025-26,2025-10,IND,Pacers,135,134,1,1,Away
12500003,2025-10-08,2025-26,2025-10,MIA,Heat,107,112,0,-5,Home
12500003,2025-10-08,2025-26,2025-10,SA,Spurs,112,107,1,5,Away
12500015,2025-10-08,2025-26,2025-10,GS,Warriors,129,123,1,6,Home
12500015,2025-10-08,2025-26,2025-10,POR,Trail Blazers,123,129,0,-6,Away
12500016,2025-10-08,2025-26,2025-10,SAC,Kings,122,130,0,-8,Home
12500016,2025-10-08,2025-26,2025-10,TOR,Raptors,130,122,1,8,Away
12500037,2025-10-08,2025-26,2025-10,HOU,Rockets,140,127,1,13,Home
12500037,2025-10-08,2025-26,2025-10,UTAH,Jazz,127,140,0,-13,Away
12500038,2025-10-08,2025-26,2025-10,MEM,Grizzlies,103,121,0,-18,Home
12500038,2025-10-08,2025-26,2025-10,BOS,Celtics,121,103,1,18,Away
12500039,2025-10-09,2025-26,2025-10,NY,Knicks,100,95,1,5,Home
12500039,2025-10-09,2025-26,2025-10,MIN,Timberwolves,95,100,0,-5,Away
12500040,2025-10-09,2025-26,2025-10,CHI,Bulls,119,112,1,7,Home
12500040,2025-10-09,2025-26,2025-10,CLE,Cavaliers,112,119,0,-7,Away
12500041,2025-10-09,2025-26,2025-10,MIL,Bucks,117,111,1,6,Home
12500041,2025-10-09,2025-26,2025-10,DET,Pistons,111,117,0,-6,Away
12500042,2025-10-09,2025-26,2025-10,OKC,Thunder,122,116,1,6,Home
12500042,2025-10-09,2025-26,2025-10,CHA,Hornets,116,122,0,-6,Away
12500043,2025-10-09,2025-26,2025-10,LAC,Clippers,142,95,1,47,Home
12500043,2025-10-09,2025-26,2025-10,GUA,Loong-Lions,95,142,0,-47,Away
12500012,2025-10-10,2025-26,2025-10,BKN,Nets,127,132,0,-5,Home
12500012,2025-10-10,2025-26,2025-10,PHX,Suns,132,127,1,5,Away
12500017,2025-10-10,2025-26,2025-10,POR,Trail Blazers,124,123,1,1,Home
12500017,2025-10-10,2025-26,2025-10,SAC,Kings,123,124,0,-1,Away
12500044,2025-10-10,2025-26,2025-10,TOR,Raptors,107,105,1,2,Home
12500044,2025-10-10,2025-26,2025-10,BOS,Celtics,105,107,0,-2,Away
12500045,2025-10-10,2025-26,2025-10,SA,Spurs,134,130,1,4,Home
12500045,2025-10-10,2025-26,2025-10,UTAH,Jazz,130,134,0,-4,Away
12500070,2025-10-10,2025-26,2025-10,PHI,76ers,98,128,0,-30,Home
12500070,2025-10-10,2025-26,2025-10,ORL,Magic,128,98,1,30,Away
12500018,2025-10-11,2025-26,2025-10,MEM,Grizzlies,116,122,0,-6,Home
