game_id,Date,Home Team,Home Team Name,Home Score,Away Team,Away Team Name,Away Score,Home Win,Away Win,Point Diff,Season,Month
42500172,2026-04-21,LAL,Lakers,101,HOU,Rockets,94,1,0,7,2025-26,2026-04
42500152,2026-04-21,SA,Spurs,103,POR,Trail Blazers,106,0,1,-3,2025-26,2026-04
42500112,2026-04-21,BOS,Celtics,97,PHI,76ers,111,0,1,-14,2025-26,2026-04
42500162,2026-04-20,DEN,Nuggets,114,MIN,Timberwolves,119,0,1,-5,2025-26,2026-04
42500132,2026-04-20,CLE,Cavaliers,115,TOR,Raptors,105,1,0,10,2025-26,2026-04
42500122,2026-04-20,NY,Knicks,106,ATL,Hawks,107,0,1,-1,2025-26,2026-04
42500151,2026-04-19,SA,Spurs,111,POR,Trail Blazers,98,1,0,13,2025-26,2026-04
42500141,2026-04-19,OKC,Thunder,119,PHX,Suns,84,1,0,35,2025-26,2026-04
42500111,2026-04-19,BOS,Celtics,123,PHI,76ers,91,1,0,32,2025-26,2026-04
42500101,2026-04-19,DET,Pistons,101,ORL,Magic,112,0,1,-11,2025-26,2026-04
42500161,2026-04-18,DEN,Nuggets,116,MIN,Timberwolves,105,1,0,11,2025-26,2026-04
42500131,2026-04-18,CLE,Cavaliers,126,TOR,Raptors,113,1,0,13,2025-26,2026-04
42500121,2026-04-18,NY,Knicks,113,ATL,Hawks,102,1,0,11,2025-26,2026-04
42500171,2026-04-18,LAL,Lakers,107,HOU,Rockets,98,1,0,9,2025-26,2026-04
52500211,2026-04-17,PHX,Suns,111,GS,Warriors,96,1,0,15,2025-26,2026-04
52500201,2026-04-17,ORL,Magic,121,CHA,Hornets,90,1,0,31,2025-26,2026-04
52500131,2026-04-15,LAC,Clippers,121,GS,Warriors,126,0,1,-5,2025-26,2026-04
52500101,2026-04-15,PHI,76ers,109,ORL,Magic,97,1,0,12,2025-26,2026-04
52500121,2026-04-14,PHX,Suns,110,POR,Trail Blazers,114,0,1,-4,2025-26,2026-04
52500111,2026-04-14,CHA,Hornets,127,MIA,Heat,126,1,0,1,2025-26,2026-04
22501193,2026-04-12,DAL,Mavericks,149,CHI,Bulls,128,1,0,21,2025-26,2026-04
22501186,2026-04-12,BOS,Celtics,113,ORL,Magic,108,1,0,5,2025-26,2026-04
22501187,2026-04-12,CLE,Cavaliers,130,WSH,Wizards,117,1,0,13,2025-26,2026-04
22501188,2026-04-12,IND,Pacers,121,DET,Pistons,133,0,1,-12,2025-26,2026-04
22501189,2026-04-12,MIA,Heat,143,ATL,Hawks,117,1,0,26,2025-26,2026-04
22501190,2026-04-12,NY,Knicks,96,CHA,Hornets,110,0,1,-14,2025-26,2026-04
22501191,2026-04-12,PHI,76ers,126,MIL,Bucks,106,1,0,20,2025-26,2026-04
22501192,2026-04-12,TOR,Raptors,136,BKN,Nets,101,1,0,35,2025-26,2026-04
22501200,2026-04-12,POR,Trail Blazers,122,SAC,Kings,110,1,0,12,2025-26,2026-04
