team_id,Team,Team Name,Conference
5,CLE,Cleveland Cavaliers,Eastern Conference
2,BOS,Boston Celtics,Eastern Conference
14,MIA,Miami Heat,Eastern Conference
19,ORL,Orlando Magic,Eastern Conference
8,DET,Detroit Pistons,Eastern Conference
15,MIL,Milwaukee Bucks,Eastern Conference
11,IND,Indiana Pacers,Eastern Conference
18,NY,New York Knicks,Eastern Conference
4,CHI,Chicago Bulls,Eastern Conference
1,ATL,Atlanta Hawks,Eastern Conference
27,WSH,Washington Wizards,Eastern Conference
30,CHA,Charlotte Hornets,Eastern Conference
20,PHI,Philadelphia 76ers,Eastern Conference
17,BKN,Brooklyn Nets,Eastern Conference
28,TOR,Toronto Raptors,Eastern Conference
25,OKC,Oklahoma City Thunder,Western Conference
13,LAL,Los Angeles Lakers,Western Conference
10,HOU,Houston Rockets,Western Conference
9,GS,Golden State Warriors,Western Conference
29,MEM,Memphis Grizzlies,Western Conference
16,MIN,Minnesota Timberwolves,Western Conference
7,DEN,Denver Nuggets,Western Conference
12,LAC,LA Clippers,Western Conference
6,DAL,Dallas Mavericks,Western Conference
23,SAC,Sacramento Kings,Western Conference
26,UTAH,Utah Jazz,Western Conference
3,NO,New Orleans Pelicans,Western Conference
24,SA,San Antonio Spurs,Western Conference
21,PHX,Phoenix Suns,Western Conference
22,POR,Portland Trail Blazers,Western Conference
